EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Loại trường côn 1	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường côn 2	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường côn 3	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song kiếm 1	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song kiếm 2	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song kiếm 3	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song chùy 1	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song chùy 2	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song chùy 3	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ám khí 	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ kiếm 4	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1	104,8,1			96,8,1		96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ kiếm 5	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ đao 4	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ đao 5	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường thương 4	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường thương 5	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường côn 4	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường côn 5	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song kiếm 4	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song kiếm 5	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song chùy 4	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại Song chùy 5	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Null

